# Distance Angle
24.586859 75.426758
17.778112 83.640831
23.850668 86.021507
20.248514 76.029808
23.840841 82.701546
25.474407 82.298927
20.123796 79.884361
19.073067 86.143112
22.823553 94.378914
20.728159 95.476135
25.493923 93.193741
26.466362 95.616043
24.930544 91.850876
29.623526 92.764786
30.308264 84.406334
29.760347 88.979370
27.595722 90.661919
30.478905 96.669067
29.249790 86.057205
23.863327 86.420006
26.989922 86.184631
26.481823 89.607475
24.477888 85.950546
22.772402 87.073257
22.389360 75.837738
22.445749 78.034248
20.945671 74.656670
18.447645 78.720566
22.510185 83.769760
23.068296 93.324364
21.184452 85.393723
17.954809 88.433731
19.684359 91.654503
16.600609 87.199112
16.546473 80.488419
21.715435 83.822830
23.359453 88.507751
23.683737 84.062065
25.127796 85.931221
25.499743 89.971565
23.165539 89.532745
21.595909 86.231125
22.292788 85.587036
17.752264 78.734428
19.164232 84.792313
21.575800 86.981964
17.178600 76.785248
22.133205 87.016365
23.345348 81.831421
25.526117 83.353043
25.360130 84.174217
23.448523 81.693268
24.973455 84.910507
23.403389 82.016678
22.133657 87.288605
23.806122 85.765923
22.980423 88.700302
28.144941 82.181213
29.414196 90.143219
29.378040 90.621376
30.820053 87.607231
28.119287 90.755432
28.264053 87.378456
22.148537 84.968620
24.465176 85.485336
24.077732 92.705345
25.234997 91.661049
24.933641 92.385071
23.256823 88.430420
25.842211 95.553253
24.115705 92.973618
23.972168 91.931290
24.368277 94.300697
26.738224 99.404999
29.271542 100.368126
27.036234 94.111008
28.168066 96.688835
28.985826 96.123634
25.715565 97.000198
25.806747 96.804054
25.509687 89.206451
27.426161 86.176277
23.188679 86.587997
28.769178 93.418846
26.629023 90.333046
24.354601 94.273224
27.758417 93.950348
29.504141 96.244896
29.647581 95.661560
26.887299 91.684509
30.657513 92.205223
30.835850 96.490509
28.350668 99.231323
26.243107 92.404182
25.774017 104.229401
25.784304 100.635582
23.597790 94.506882
27.317015 97.462395
25.432114 89.027016
22.723082 79.435478
24.400530 84.301308
25.821548 87.229935
25.916981 87.600739
23.305063 88.654739
23.218807 90.787674
26.328646 100.882858
31.635996 103.244789
30.247015 98.143028
28.166348 97.255432
25.805729 95.840546
22.835846 82.473419
25.764385 90.797768
28.402534 99.616905
29.445097 93.739807
25.258295 91.024483
24.785084 91.243668
25.846947 93.404228
27.240639 96.901161
28.351110 91.846603
30.643164 89.256660
28.341959 98.346283
26.709558 89.673500
29.596609 100.159225
24.996946 97.193275
25.384937 96.844673
26.563877 94.252243
24.750458 88.155296
22.610518 83.192116
19.466681 84.045708
25.047421 91.715462
24.166580 83.490738
24.693901 80.916222
24.204235 79.392822
27.928589 85.369087
30.713160 86.020302
30.617783 91.251450
27.768671 86.162628
25.639872 81.093224
26.203268 87.047546
29.546812 91.197823
26.338057 87.875496
25.437580 82.717873
28.527527 89.049942
27.904350 87.401466
26.589214 88.990395
28.748524 87.707497
30.394979 89.212578
31.121386 95.201172
30.996099 89.860756
25.123676 84.512466
25.113583 85.702423
32.914917 97.305626
32.978031 96.009865
23.959793 82.144196
28.497135 90.342072
25.283972 85.962563
26.437750 89.955711
27.675882 95.628265
31.472288 103.202713
30.534672 98.083412
31.168901 103.217697
29.978104 102.463356
29.368132 101.961884
31.041460 105.500908
28.003883 99.285881
27.020941 92.529343
27.375881 97.896049
21.136415 82.906136
23.264364 89.349266
22.562628 85.825821
22.946413 85.237503
23.797188 90.254265
22.655415 87.089233
20.689903 81.854553
16.755428 85.996780
22.501818 94.633736
25.171530 97.528206
25.343529 96.451653
26.565018 94.150253
27.814085 103.399101
24.370693 100.271889
23.700525 102.742004
21.818699 91.140587
20.896137 92.322182
21.207594 89.368690
23.620970 93.074226
23.344749 94.632492
20.384443 88.873459
25.529938 100.861557
25.200346 97.565430
24.801340 94.785980
26.494022 100.163986
25.024323 102.355362
21.810226 92.733589
24.790680 96.153351
26.770618 101.302673
21.842001 79.002426
19.534838 80.831802
18.973440 74.781487
17.268681 72.434128
19.262636 76.343079
18.944914 74.767593
24.541084 81.048050
19.571081 80.067162
23.730581 77.634193
21.218189 79.539040
18.176582 73.956596
20.760790 82.551453
16.601501 82.694145
20.531218 80.880157
21.258570 82.254059
16.995848 74.365112
21.328630 82.493027
26.261719 86.762405
24.474062 91.231224
23.383577 89.370155
23.583151 82.864746
20.419481 88.336151
24.875755 93.945267
20.814377 86.697632
21.027929 86.131966
24.294956 84.932228
24.414335 82.334595
23.733171 80.821007
22.004808 78.885178
24.811266 90.251274
21.785328 87.925148
24.843754 91.937767
20.694372 83.945396
19.246206 82.713692
21.248730 88.857193
15.116549 78.592224
21.175070 75.892876
21.927189 77.679298
21.448374 79.804924
20.610212 76.753677
19.344364 74.225922
25.905371 75.964096
25.008696 87.077400
24.411743 83.608093
23.279819 79.818138
25.679029 82.021156
24.595964 82.438881
28.206059 89.414345
22.773338 77.124901
20.030485 84.346863
23.284868 82.034515
22.886395 81.866493
23.417795 88.641953
20.123486 88.196251
24.590256 88.860222
25.981323 85.043564
25.186951 86.377113
25.073233 85.528221
24.539911 88.209084
23.262897 89.011986
25.435963 85.998230
23.826099 81.902718
23.242941 85.102928
26.026075 85.986137
20.970022 88.437599
22.715256 79.247322
21.256493 82.570503
23.734957 86.460587
20.302996 86.065834
23.572611 95.608315
28.588297 98.113441
25.293898 91.724358
28.612717 85.872704
22.717693 83.414551
20.340923 83.994652
26.615908 89.732971
27.371414 88.136871
21.670578 85.046394
19.513279 83.705849
19.320391 80.199951
19.956045 85.979446
22.398115 87.164795
26.068405 91.519775
24.141142 76.695366
26.228107 81.984360
20.893759 88.995544
21.782043 83.437988
19.177879 82.329872
18.765753 79.771645
18.479456 74.014091
18.693556 80.927681
18.523602 79.494171
16.033312 80.515244
18.517927 82.280914
17.595621 76.754364
18.930210 78.081474
20.747694 82.343422
22.462957 84.494781
24.120327 85.661247
23.303068 84.930305
22.941298 88.136925
21.824181 85.249954
27.270161 85.283661
27.862335 91.212654
25.584026 86.294167
25.573372 82.192894
26.868399 84.548637
25.152332 92.158539
25.816559 88.347076
25.096966 88.069817
28.963140 94.058205
26.783068 83.479538
25.982937 92.354614
24.618834 90.186806
26.894445 93.180672
27.078932 90.436630
23.262629 91.084404
24.521942 86.269234
22.057552 87.812294
19.203642 75.952316
23.677732 81.659363
22.800371 81.460419
25.788258 77.631355
27.257353 84.854012
21.795279 83.260033
20.677944 83.859497
28.805231 89.096756
28.171270 90.650063
28.441513 88.618614
24.715096 89.068024
26.702415 91.243164
24.765398 77.442307
31.880821 90.130676
32.868729 93.681786
29.662207 92.547096
30.186319 99.768166
32.151848 98.854591
31.539013 95.085182
32.424702 96.994308
32.776466 102.137909
30.968060 94.816650
30.401318 90.828720
27.453384 86.446648
25.560724 85.605408
30.793337 85.135986
32.328976 91.079117
32.599854 94.950020
36.196587 101.864754
31.934912 95.225853
32.613331 98.403275
31.960218 98.511078
32.483673 97.654694
30.612434 100.256081
25.417789 84.234390
23.074831 84.267174
26.056795 83.492233
31.371883 94.672112
31.341980 95.615540
29.958292 95.087257
27.154137 86.430351
29.954256 85.381172
29.263819 88.212120
29.612425 84.644783
27.199127 84.674103
24.556206 78.478050
26.706419 84.551552
25.804996 82.822823
27.696371 84.522835
27.019258 86.484215
27.597216 94.368210
27.959328 95.940010
26.465691 87.209938
23.691618 88.825691
24.223310 86.756508
25.297930 91.123497
27.686319 90.247101
26.457323 86.728455
26.292227 93.941292
23.067221 88.204208
22.853470 85.908783
27.275753 85.926384
25.681911 86.289001
21.694094 81.652130
24.099491 83.944862
25.209175 83.936493
25.150089 87.639183
26.190294 91.554420
25.758560 92.643730
27.888094 101.405212
28.333776 94.152351
28.017385 94.044144
23.595047 82.682533
29.320072 98.629807
32.381123 104.901016
30.970854 95.010948
29.722960 97.162491
32.347481 106.851685
27.897223 98.069717
31.346842 100.407578
33.386478 103.192871
30.819304 97.479836
29.505665 100.556488
29.806112 102.706306
30.545910 102.465279
31.836390 101.798592
31.010000 102.538139
29.957813 100.736290
28.423212 103.418327
31.429111 103.481522
30.424496 100.212250
27.333042 92.579941
31.338741 100.694214
28.626518 93.757759
31.146242 96.038162
30.207264 102.153297
29.991856 94.449783
29.566994 96.867775
27.540014 96.113564
26.798662 92.685471
30.036488 99.903435
34.308201 95.252380
31.764109 97.223763
27.202070 91.671944
25.437010 86.425995
29.188206 97.256493
31.556318 101.311050
29.304958 90.631989
30.264372 97.423599
31.872688 97.575966
30.420273 103.038368
28.491611 97.339485
26.189297 90.397430
28.730772 97.687508
31.576658 98.701180
33.369129 97.662003
34.056751 102.336769
33.420979 105.053062
32.871929 100.622948
39.613186 103.086334
34.823235 99.553986
32.867180 100.759323
30.384567 95.510330
31.322533 98.034378
33.995319 103.360359
30.211330 99.260612
34.350956 98.742180
32.971497 97.339447
30.528494 106.376534
31.566717 106.404709
31.204094 103.852654
33.349125 102.931320
30.909708 105.860161
34.198681 106.357025
34.598988 101.686356
30.460369 97.953461
29.140202 99.233704
27.832539 92.437027
28.863773 92.881424
30.444851 90.289978
30.021751 92.470100
29.352058 94.500839
27.873726 97.859962
31.533522 102.281342
32.622795 106.665710
31.442495 99.601784
34.276939 102.333153
34.798565 108.326797
32.261463 107.233803
28.583090 101.163834
31.681944 93.807373
29.960711 101.314156
30.547169 96.241966
29.564783 92.780373
30.078192 89.666168
28.108778 89.354027
30.144293 101.053001
29.655247 98.905014
32.573040 97.463364
29.938370 102.266045
31.600216 101.149040
30.250555 96.968185
30.937469 102.939423
27.816202 98.492271
32.149078 95.893448
31.558619 98.811569
32.362854 100.200531
29.742514 102.276031
32.691269 106.784195
33.989014 105.236870
34.030220 105.364754
34.535198 105.146202
34.983307 98.374161
34.060532 101.609215
34.564915 105.111755
33.033764 109.470886
33.604267 101.514923
36.164600 108.709305
32.036045 105.716385
35.538460 104.982674
35.418591 103.681427
32.402435 100.030403
32.436401 101.428490
31.781771 97.510529
34.689632 108.137138
31.820238 100.084084
35.484440 104.844582
31.497725 98.715508
34.465698 100.095139
33.833424 108.074852
32.146980 101.697830
35.347225 110.326859
29.662373 100.857635
31.706848 110.817932
34.678394 112.367325
35.846294 105.328552
33.896038 108.930603
34.230717 106.821022
33.087128 97.681732
28.666033 94.535034
27.556255 92.844681
31.451754 94.314827
30.442213 95.080353
34.695919 105.475182
34.145748 104.126183
35.460697 104.330688
36.764221 107.328293
32.403503 108.023788
34.230019 106.807930
32.718533 100.527565
36.718231 106.184273
34.813801 105.487305
33.616974 112.895157
32.196404 105.910278
33.602001 110.211578
31.756760 96.712158
32.135956 102.937126
34.920921 106.740738
33.076904 113.390465
29.450745 103.227547
